method,budget,fold,metric,value,mean,std,min,max,n_folds
Random,15,3,morans_pval,0.001,,,,,
Random,15,3,selection_time_sec,0.0,,,,,
Random,15,3,inference_time_sec,0.004000425338745117,,,,,
Random,15,3,n_selected,15.0,,,,,
Random,15,3,total_cost,2370.0,,,,,
Random,20,1,rmse,0.4586907381954478,,,,,
Random,20,1,mae,0.34752029706703996,,,,,
Random,20,1,r2,0.29179244855381514,,,,,
Random,20,1,expected_loss_gbp,6517.8052514589735,,,,,
Random,20,1,coverage_90,0.9469320066334992,,,,,
Random,20,1,msse,0.6639806793590112,,,,,
Random,20,1,n_test,603.0,,,,,
Random,20,1,morans_i,0.7230399516136272,,,,,
Random,20,1,morans_pval,0.001,,,,,
Random,20,1,selection_time_sec,0.001005411148071289,,,,,
Random,20,1,inference_time_sec,0.002991914749145508,,,,,
Random,20,1,n_selected,20.0,,,,,
Random,20,1,total_cost,3120.0,,,,,
Random,20,2,rmse,0.38858563164841053,,,,,
Random,20,2,mae,0.28228051412924426,,,,,
Random,20,2,r2,0.26714984121071317,,,,,
Random,20,2,expected_loss_gbp,6488.444455589116,,,,,
Random,20,2,coverage_90,0.969939879759519,,,,,
Random,20,2,msse,0.48503310758678975,,,,,
Random,20,2,n_test,499.0,,,,,
Random,20,2,morans_i,0.7027340750694292,,,,,
Random,20,2,morans_pval,0.001,,,,,
Random,20,2,selection_time_sec,0.0,,,,,
Random,20,2,inference_time_sec,0.003935098648071289,,,,,
Random,20,2,n_selected,20.0,,,,,
Random,20,2,total_cost,3120.0,,,,,
Random,20,3,rmse,0.5782909123549139,,,,,
Random,20,3,mae,0.4011658080564037,,,,,
Random,20,3,r2,0.18317695353746744,,,,,
Random,20,3,expected_loss_gbp,6570.559152843512,,,,,
Random,20,3,coverage_90,0.8895582329317269,,,,,
Random,20,3,msse,0.9937830782513274,,,,,
Random,20,3,n_test,498.0,,,,,
Random,20,3,morans_i,0.815202769888467,,,,,
Random,20,3,morans_pval,0.001,,,,,
Random,20,3,selection_time_sec,0.0,,,,,
Random,20,3,inference_time_sec,0.0029997825622558594,,,,,
Random,20,3,n_selected,20.0,,,,,
Random,20,3,total_cost,3120.0,,,,,
Random,30,1,rmse,0.4336756342408241,,,,,
Random,30,1,mae,0.33143483613490676,,,,,
Random,30,1,r2,0.3669315711263593,,,,,
Random,30,1,expected_loss_gbp,6466.487243955062,,,,,
Random,30,1,coverage_90,0.966832504145937,,,,,
Random,30,1,msse,0.6039135038285028,,,,,
Random,30,1,n_test,603.0,,,,,
Random,30,1,morans_i,0.697699036617643,,,,,
Random,30,1,morans_pval,0.001,,,,,
Random,30,1,selection_time_sec,0.0010001659393310547,,,,,
Random,30,1,inference_time_sec,0.0030126571655273438,,,,,
Random,30,1,n_selected,30.0,,,,,
Random,30,1,total_cost,4280.0,,,,,
Random,30,2,rmse,0.38356049655298385,,,,,
Random,30,2,mae,0.27702835080631333,,,,,
Random,30,2,r2,0.28598151619233514,,,,,
Random,30,2,expected_loss_gbp,6514.222679102879,,,,,
Random,30,2,coverage_90,0.9739478957915831,,,,,
Random,30,2,msse,0.47011203142172625,,,,,
Random,30,2,n_test,499.0,,,,,
Random,30,2,morans_i,0.702783416447363,,,,,
Random,30,2,morans_pval,0.001,,,,,
Random,30,2,selection_time_sec,0.0,,,,,
Random,30,2,inference_time_sec,0.0029752254486083984,,,,,
Random,30,2,n_selected,30.0,,,,,
Random,30,2,total_cost,4280.0,,,,,
Random,30,3,rmse,0.5677387791870719,,,,,
Random,30,3,mae,0.388429549326477,,,,,
Random,30,3,r2,0.21271429343023351,,,,,
Random,30,3,expected_loss_gbp,6505.207566249434,,,,,
Random,30,3,coverage_90,0.8895582329317269,,,,,
Random,30,3,msse,0.9743177415604565,,,,,
Random,30,3,n_test,498.0,,,,,
Random,30,3,morans_i,0.8096146959061075,,,,,
Random,30,3,morans_pval,0.001,,,,,
Random,30,3,selection_time_sec,0.0010006427764892578,,,,,
Random,30,3,inference_time_sec,0.004007816314697266,,,,,
Random,30,3,n_selected,30.0,,,,,
Random,30,3,total_cost,4280.0,,,,,
Random,40,1,rmse,0.4342563205661944,,,,,
Random,40,1,mae,0.3323736124713535,,,,,
Random,40,1,r2,0.3652350944693723,,,,,
Random,40,1,expected_loss_gbp,6468.612754943896,,,,,
Random,40,1,coverage_90,0.956882255389718,,,,,
Random,40,1,msse,0.6374247787962496,,,,,
Random,40,1,n_test,603.0,,,,,
Random,40,1,morans_i,0.6973549779295509,,,,,
Random,40,1,morans_pval,0.001,,,,,
Random,40,1,selection_time_sec,0.0,,,,,
Random,40,1,inference_time_sec,0.0039806365966796875,,,,,
Random,40,1,n_selected,40.0,,,,,
Random,40,1,total_cost,5670.0,,,,,
Random,40,2,rmse,0.3659902866028193,,,,,
Random,40,2,mae,0.2669001037120822,,,,,
Random,40,2,r2,0.3498990078454616,,,,,
Random,40,2,expected_loss_gbp,6571.18058858403,,,,,
Random,40,2,coverage_90,0.9759519038076152,,,,,
Random,40,2,msse,0.432599522412567,,,,,
Random,40,2,n_test,499.0,,,,,
Random,40,2,morans_i,0.6774934456929005,,,,,
Random,40,2,morans_pval,0.001,,,,,
Random,40,2,selection_time_sec,0.0,,,,,
Random,40,2,inference_time_sec,0.0029718875885009766,,,,,
Random,40,2,n_selected,40.0,,,,,
Random,40,2,total_cost,5670.0,,,,,
Random,40,3,rmse,0.5693642331945188,,,,,
Random,40,3,mae,0.3891979710661914,,,,,
Random,40,3,r2,0.2081997925375022,,,,,
Random,40,3,expected_loss_gbp,6413.098142114239,,,,,
Random,40,3,coverage_90,0.8855421686746988,,,,,
Random,40,3,msse,0.9884093227278833,,,,,
Random,40,3,n_test,498.0,,,,,
Random,40,3,morans_i,0.813762818670539,,,,,
Random,40,3,morans_pval,0.001,,,,,
Random,40,3,selection_time_sec,0.0,,,,,
Random,40,3,inference_time_sec,0.00400090217590332,,,,,
Random,40,3,n_selected,40.0,,,,,
Random,40,3,total_cost,5670.0,,,,,
Random,50,1,rmse,0.4348844573318179,,,,,
Random,50,1,mae,0.3310031405835277,,,,,
Random,50,1,r2,0.36339743536091307,,,,,
Random,50,1,expected_loss_gbp,6438.594814801888,,,,,
Random,50,1,coverage_90,0.9585406301824212,,,,,
Random,50,1,msse,0.6293213913336513,,,,,
Random,50,1,n_test,603.0,,,,,
Random,50,1,morans_i,0.698874725463375,,,,,
Random,50,1,morans_pval,0.001,,,,,
Random,50,1,selection_time_sec,0.0,,,,,
Random,50,1,inference_time_sec,0.003999233245849609,,,,,
Random,50,1,n_selected,50.0,,,,,
Random,50,1,total_cost,7170.0,,,,,
Random,50,2,rmse,0.3848028600140436,,,,,
Random,50,2,mae,0.275935610715382,,,,,
Random,50,2,r2,0.28134857246555656,,,,,
Random,50,2,expected_loss_gbp,6461.849939908816,,,,,
Random,50,2,coverage_90,0.9719438877755511,,,,,
Random,50,2,msse,0.48498745845888946,,,,,
Random,50,2,n_test,499.0,,,,,
Random,50,2,morans_i,0.7077732232713433,,,,,
Random,50,2,morans_pval,0.001,,,,,
Random,50,2,selection_time_sec,0.0,,,,,
Random,50,2,inference_time_sec,0.0039942264556884766,,,,,
Random,50,2,n_selected,50.0,,,,,
Random,50,2,total_cost,7170.0,,,,,
Random,50,3,rmse,0.5684861061880739,,,,,
Random,50,3,mae,0.3885830283641412,,,,,
Random,50,3,r2,0.21064028642877286,,,,,
Random,50,3,expected_loss_gbp,6443.414299031196,,,,,
Random,50,3,coverage_90,0.8855421686746988,,,,,
Random,50,3,msse,1.0048584010924362,,,,,
Random,50,3,n_test,498.0,,,,,
Random,50,3,morans_i,0.8137262773178026,,,,,
Random,50,3,morans_pval,0.001,,,,,
